2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph <: glyph(frame 92, advance 65px, offset 15px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph =: glyph(frame 38, advance 65px, offset 25px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph >: glyph(frame 93, advance 65px, offset 15px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph ?: glyph(frame 94, advance 59px, offset -1px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph @: glyph(frame 76, advance 131px, offset -27px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph A: glyph(frame 48, advance 74px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph B: glyph(frame 49, advance 78px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph C: glyph(frame 50, advance 72px, offset -1px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph D: glyph(frame 51, advance 83px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph E: glyph(frame 52, advance 69px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph F: glyph(frame 53, advance 63px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph G: glyph(frame 54, advance 81px, offset -1px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph H: glyph(frame 55, advance 88px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph I: glyph(frame 56, advance 38px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph J: glyph(frame 57, advance 40px, offset -18px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph K: glyph(frame 58, advance 76px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph L: glyph(frame 59, advance 64px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph M: glyph(frame 60, advance 100px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph N: glyph(frame 61, advance 88px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph O: glyph(frame 62, advance 89px, offset -1px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph P: glyph(frame 63, advance 75px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph Q: glyph(frame 64, advance 89px, offset -13px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph R: glyph(frame 65, advance 78px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph S: glyph(frame 66, advance 70px, offset -1px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph T: glyph(frame 67, advance 67px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph U: glyph(frame 68, advance 85px, offset -2px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph V: glyph(frame 69, advance 72px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph W: glyph(frame 70, advance 106px, offset 0px)
2026.09.20@14:49:46.934: [Test Scene 1] [Information] Glyph X: glyph(frame 71, advance 70px, offset 0px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph Y: glyph(frame 72, advance 71px, offset 0px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph Z: glyph(frame 73, advance 67px, offset 0px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph [: glyph(frame 39, advance 42px, offset -15px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph \: glyph(frame 41, advance 67px, offset -14px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph ]: glyph(frame 40, advance 42px, offset -15px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph ^: glyph(frame 80, advance 70px, offset 68px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph _: glyph(frame 85, advance 67px, offset -18px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph `: glyph(frame 26, advance 39px, offset 82px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph a: glyph(frame 0, advance 70px, offset -2px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph b: glyph(frame 1, advance 77px, offset -2px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph c: glyph(frame 2, advance 62px, offset -2px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph d: glyph(frame 3, advance 77px, offset -2px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph e: glyph(frame 4, advance 70px, offset -2px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph f: glyph(frame 5, advance 43px, offset 0px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph g: glyph(frame 6, advance 67px, offset -27px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph h: glyph(frame 7, advance 76px, offset 0px)
2026.09.20@14:49:46.935: [Test Scene 1] [Information] Glyph i: glyph(frame 8, advance 37px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph j: glyph(frame 9, advance 36px, offset -27px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph k: glyph(frame 10, advance 66px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph l: glyph(frame 11, advance 38px, offset -2px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph m: glyph(frame 12, advance 110px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph n: glyph(frame 13, advance 76px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph o: glyph(frame 14, advance 75px, offset -2px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph p: glyph(frame 15, advance 77px, offset -27px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph q: glyph(frame 16, advance 77px, offset -27px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph r: glyph(frame 17, advance 50px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph s: glyph(frame 18, advance 60px, offset -2px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph t: glyph(frame 19, advance 47px, offset -2px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph u: glyph(frame 20, advance 75px, offset -2px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph v: glyph(frame 21, advance 63px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph w: glyph(frame 22, advance 92px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph x: glyph(frame 23, advance 63px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph y: glyph(frame 24, advance 63px, offset -28px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph z: glyph(frame 25, advance 56px, offset 0px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph {: glyph(frame 87, advance 42px, offset -17px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph |: glyph(frame 89, advance 52px, offset -13px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph }: glyph(frame 88, advance 42px, offset -17px)
2026.09.20@14:49:46.936: [Test Scene 1] [Information] Glyph ~: glyph(frame 74, advance 63px, offset 32px)
2026.09.20@14:50:04.528: [Asset Management System] [Information] Reading typeface from "./Assets/Typeface/Silkscreen.typeface"
2026.09.20@14:50:04.533: [Asset Management System] [Information] Adding typeface at "./Assets/Typeface/Silkscreen.typeface"
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Loaded typeface: typeface(95 glyphs, 3404824B at "animation:Typeface/Silkscreen.typeface")
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph  : glyph(frame 47, advance 65px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph !: glyph(frame 75, advance 49px, offset 0px)
